Load,Solar,Wind,,,,
22.84,0.00,1.44,,,,
22.49,0.00,1.30,,,,
25.33,0.00,1.33,,,,
24.29,0.04,1.36,,,,
25.33,1.75,1.36,,,,
26.23,3.71,1.31,,,,
29.69,5.15,1.24,,,,
30.64,6.09,1.19,,,,
31.02,6.46,1.24,,,,
31.58,6.27,1.39,,,,
30.54,5.94,1.60,,,,
31.26,5.07,1.86,,,,
30.86,3.80,2.14,,,,
30.71,2.06,2.35,,,,
27.75,0.22,2.51,,,,
28.51,0.00,2.72,,,,
31.83,0.00,2.90,,,,
30.79,0.00,2.97,,,,
29.41,0.00,2.85,,,,
28.72,0.00,2.54,,,,
26.78,0.00,2.21,,,,
25.26,0.00,1.95,,,,
23.18,0.00,1.80,,,,
23.18,0.00,1.79,,,,
23.67,0.00,1.88,,,,
22.91,0.00,1.99,,,,
23.39,0.00,1.96,,,,
24.29,0.03,1.87,,,,
25.47,1.67,1.84,,,,
25.66,3.61,1.91,,,,
28.79,5.25,2.02,,,,
28.50,6.27,1.98,,,,
29.21,6.79,1.80,,,,
30.13,6.93,1.49,,,,
30.10,6.51,1.21,,,,
29.60,5.52,1.11,,,,
30.21,4.09,1.18,,,,
29.73,2.16,1.39,,,,
28.51,0.25,1.74,,,,
27.33,0.00,2.14,,,,
31.14,0.00,2.43,,,,
30.45,0.00,2.52,,,,
28.93,0.00,2.43,,,,
28.03,0.00,2.21,,,,
25.60,0.00,1.97,,,,
24.57,0.00,1.76,,,,
23.94,0.00,1.55,,,,
23.46,0.00,1.39,,,,
22.97,0.00,1.29,,,,
22.77,0.00,1.23,,,,
22.84,0.00,1.13,,,,
24.22,0.04,1.02,,,,
25.12,1.82,0.95,,,,
25.60,3.89,0.92,,,,
28.99,5.47,0.90,,,,
29.69,6.50,0.85,,,,
29.55,6.99,0.84,,,,
29.55,7.09,0.90,,,,
29.96,6.59,1.04,,,,
30.19,5.63,1.30,,,,
30.17,4.14,1.71,,,,
30.10,2.16,2.25,,,,
28.65,0.25,2.82,,,,
28.79,0.00,3.32,,,,
31.69,0.00,3.66,,,,
31.07,0.00,3.71,,,,
29.89,0.00,3.56,,,,
28.51,0.00,3.21,,,,
26.64,0.00,2.86,,,,
24.91,0.00,2.58,,,,
24.36,0.00,2.30,,,,
24.22,0.00,2.08,,,,
23.18,0.00,2.01,,,,
23.87,0.00,2.02,,,,
23.18,0.00,1.98,,,,
25.95,0.04,1.91,,,,
25.60,1.86,1.96,,,,
26.23,3.88,2.13,,,,
28.30,5.45,2.23,,,,
29.76,6.54,2.17,,,,
30.52,7.07,1.98,,,,
31.07,7.13,1.78,,,,
31.69,6.69,1.65,,,,
31.49,5.69,1.61,,,,
31.42,4.20,1.65,,,,
31.35,2.20,1.57,,,,
29.41,0.24,1.26,,,,
29.06,0.00,1.03,,,,
31.83,0.00,0.98,,,,
31.83,0.00,1.05,,,,
31.14,0.00,1.14,,,,
29.13,0.00,1.17,,,,
27.40,0.00,1.17,,,,
25.47,0.00,1.18,,,,
24.77,0.00,1.23,,,,
24.22,0.00,1.37,,,,
24.08,0.00,1.61,,,,
24.08,0.00,1.93,,,,
24.08,0.00,2.32,,,,
26.23,0.04,2.77,,,,
25.81,1.86,3.13,,,,
29.60,3.88,3.40,,,,
30.10,5.46,3.54,,,,
30.81,6.53,3.35,,,,
30.02,7.09,3.01,,,,
31.26,7.15,2.77,,,,
31.05,6.71,2.72,,,,
